user_id,date,age,age_group,social_media_hours,work_or_study_hours,entertainment_hours,total_screen_time,primary_device,internet_type
1,2024-04-02,15,13-18,2.2,3.7,2.4,8.3,Mobile,WiFi
2,2024-06-07,13,13-18,1.1,6.9,2.1,10.1,Tablet,WiFi
3,2024-04-03,21,19-25,1.3,5.7,1.6,8.6,Tablet,WiFi
4,2024-10-02,35,26-35,2.5,5.0,2.0,9.5,Mobile,WiFi
5,2024-10-05,49,46-60,0.2,6.3,2.8,9.3,Laptop,WiFi
6,2024-11-22,44,36-45,1.9,3.8,2.5,8.2,Tablet,Mobile Data
7,2024-04-02,47,46-60,3.2,5.4,2.9,11.5,Mobile,Mobile Data
8,2024-04-02,22,19-25,3.8,6.9,2.9,13.6,Laptop,Mobile Data
9,2024-02-13,16,13-18,3.9,6.7,3.3,13.9,Tablet,WiFi
10,2024-09-07,14,13-18,0.5,6.7,1.0,8.2,Laptop,WiFi
11,2024-08-25,24,19-25,1.7,5.4,1.5,8.6,Laptop,WiFi
12,2024-02-05,64,60+,2.2,2.0,2.8,7.0,Mobile,Mobile Data
13,2024-09-09,28,26-35,2.2,3.8,3.4,9.4,Laptop,WiFi
14,2024-06-11,37,36-45,2.3,3.9,3.4,9.6,Tablet,WiFi
15,2024-06-16,64,60+,2.3,6.5,2.5,11.3,Mobile,Mobile Data
16,2024-03-20,20,19-25,3.6,5.1,2.3,11.0,Laptop,Mobile Data
17,2024-05-23,25,19-25,3.6,2.4,2.7,8.7,Laptop,WiFi
18,2024-02-11,55,46-60,2.9,5.2,3.1,11.2,Mobile,WiFi
19,2024-06-15,16,13-18,0.7,5.7,3.5,9.9,Mobile,WiFi
20,2024-04-09,21,19-25,3.1,5.4,2.7,11.2,Laptop,WiFi
21,2024-04-03,24,19-25,0.6,1.9,1.2,3.7,Laptop,Mobile Data
22,2024-10-24,74,60+,1.5,2.8,3.5,7.8,Mobile,WiFi
23,2024-03-19,40,36-45,3.9,5.6,3.2,12.7,Mobile,WiFi
24,2024-03-17,27,26-35,3.1,5.8,0.7,9.6,Tablet,WiFi
25,2024-10-13,75,60+,3.0,1.0,1.9,5.9,Mobile,WiFi
26,2024-11-14,40,36-45,2.7,2.8,3.4,8.9,Mobile,WiFi
27,2024-05-28,47,46-60,3.9,4.2,1.8,9.9,Mobile,Mobile Data
